time,"Aircon Gate Status ()","Altitude (GPS) (feet)","Atmosphere Pressure_7E0 (kPa)","Average speed (mph)","Average speed (GPS) (mph)","Calculated instant fuel rate (gal./h)","Calculated Load_7E0 (%)","Coolant Temperature_7E0 (℉)","Distance travelled (miles)","Distance travelled (Today) (miles)","Distance travelled (total) (miles)","Distance travelled (Week) (miles)","Engine coolant temperature (℉)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Engine Run Time (Time since Ign-On) (sec.)","Engine Speed_7E0 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (gallon)","Fuel used (Today) (gallon)","Fuel used (total) (gallon)","Fuel used (Week) (gallon)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","HV battery intake air temperature (℉)","Hybrid/EV battery pack remaining charge (%)","Instant engine power (based on fuel consumption) (hp)","Intake Air Temperature_7E0 (℉)","Inverter Coolant Temp ()","Inverter Water Pump Revolution (rpm)","MAF air flow rate (g/sec)","Manifold Air Pressure_7E0 (kPa)","Mass Air Flow (g/sec)","MG1 revolution (rpm)","MG1 temperature (℉)","MG1 temperature after IG-ON (℉)","MG1 temperature Max (℉)","MG2 revolution (rpm)","MG2 temperature (℉)","MG2 temperature after IG-ON (℉)","MG2 temperature Max (℉)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Prohibit DC/DC converter signal ()","Speed (GPS) (mph)","State of Charge (%)","Temp of Batt TB1 (℉)","Temp of Batt TB2 (℉)","Temp of Batt TB3 (℉)","Throttle position (%)","Vehicle acceleration (g)","Vehicle Load (%)","Vehicle speed (mph)","Vehicle Speed_7E0 (mph)","Water Pump Running ()",Latitude,Longtitude,
13:30:12.162,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8476216082028516,,,,,,,,,,,37.3332357,-121.8809804,
13:30:13.152,,5.296114324439251,,,0.08955015717560937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08955015717560937,,,,,,,,,,,37.3332063,-121.8809537,
13:30:14.136,,25.2490401294491,,,0.10066382879776704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11182200822261887,,,,,,,,,,,37.3332167,-121.880983,
13:30:15.141,,25.2490401294491,,,0.10446164510497204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1119170154584205,,,,,,,,,,,37.3332175,-121.8809846,
13:30:16.336,,5.490154028003378,,,0.9799296013595193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1602114929671616,,,,,,,,,,,37.3331997,-121.8809579,
13:30:17.349,,5.4629195200058955,,,1.2711795284453113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.470919722391182,,,,,,,,,,,37.3331947,-121.8809504,
13:30:18.309,,5.377817670980235,,,1.1332107386237344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38821568196598083,,,,,,,,,,,37.3331938,-121.8809508,
13:30:19.778,,5.534404721677685,,,0.9727022391155743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3010895884540478,,,,,,,,,,,37.3331941,-121.8809516,
13:30:20.083,,5.534404721677685,,,0.9727022391155743,,,,,,,,172.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3010895884540478,,,,,,,,,,,37.3331941,-121.8809516,
13:30:20.242,,5.534404721677685,,,0.9727022391155743,,,,,,,,172.4,0,0,,,,,,,,,,,,,48.23529411764706,,,,,,,,,,,,,,,,,,,,0.3010895884540478,48.23529411764706,,,,,,,,,,37.3331941,-121.8809516,
13:30:20.334,,5.479941084425494,,,0.9293271811547875,,,,,,,,172.4,0,0,,,,,,,,,,,,,48.23529411764706,,,,,,,,,,,,,,,,,,,,0.3354543581359627,48.23529411764706,,,,,,,,,,37.3331946,-121.8809512,
13:30:20.449,,5.479941084425494,100,,0.9293271811547875,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,,48.23529411764706,,120.2,,,,100,0.46,,,,,,,,,,,,,0.3354543581359627,48.23529411764706,,,,,,0,,0,,37.3331946,-121.8809512,
13:30:20.666,,5.479941084425494,100,,0.9293271811547875,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,,48.23529411764706,,120.2,,,,100,0.46,0,129.2,118.4,129.2,,,,,,,,,0.3354543581359627,48.23529411764706,,,,,,0,,0,,37.3331946,-121.8809512,
13:30:20.742,,5.479941084425494,100,,0.9293271811547875,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,,48.23529411764706,,120.2,,,,100,0.46,0,129.2,118.4,129.2,0,116.60000000000001,114.8,116.60000000000001,,,,,0.3354543581359627,48.23529411764706,,,,,,0,,0,,37.3331946,-121.8809512,
13:30:20.833,1,5.479941084425494,100,,0.9293271811547875,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,,48.23529411764706,,120.2,39,3500,,100,0.46,0,129.2,118.4,129.2,0,116.60000000000001,114.8,116.60000000000001,,,,0,0.3354543581359627,48.23529411764706,,,,,,0,,0,0,37.3331946,-121.8809512,
13:30:21.259,1,5.479941084425494,100,,0.9293271811547875,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,89.14396429388876,48.23529411764706,,120.2,39,3500,,100,0.46,0,129.2,118.4,129.2,0,116.60000000000001,114.8,116.60000000000001,,,,0,0.3354543581359627,48.23529411764706,86.0162325474938,88.75036209658964,86.7893797207598,,,0,,0,0,37.3331946,-121.8809512,
13:30:21.465,1,25.378403979990996,100,,0.8573620002771207,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,89.14396429388876,48.23529411764706,,120.2,39,3500,,100,0.46,0,129.2,118.4,129.2,0,116.60000000000001,114.8,116.60000000000001,,,,0,0.33736050278268376,48.23529411764706,86.0162325474938,88.75036209658964,86.7893797207598,,,0,,0,0,37.3331946,-121.8809509,
13:30:21.633,1,25.378403979990996,100,,0.8573620002771207,,0,172.4,,,,,172.4,0,0,326,0,,,,,,,,,,89.14396429388876,48.23529411764706,,120.2,39,3500,,100,0.46,0,129.2,118.4,129.2,0,116.60000000000001,114.8,116.60000000000001,,,,0,0.33736050278268376,48.23529411764706,86.0162325474938,88.75036209658964,86.7893797207598,,,0,,0,0,37.3331946,-121.8809509,
